pair_id,adr_ticker,underlying_ticker,status,n_days,adr_zero_return_pct,loc_zero_return_pct,adr_max_stale_run_days,loc_max_stale_run_days,zero_return_spread_fraction,flagged,flag_reason
9174AW__530957,9174AW,530957,ok,686,0.0307,0.0204,1,2,0.0319,False,
921505__916933,921505,916933,ok,3530,0.0153,0.0125,2,2,0.0242,False,
9226MT__9212QG,9226MT,9212QG,ok,526,0.0419,0.0533,3,2,0.0538,False,
9289GW__2559M8,9289GW,2559M8,ok,1212,0.0033,0.0033,1,1,0.0063,False,
9291FF__140134,9291FF,140134,ok,1249,0.0272,0.0248,2,1,0.0308,False,
9291FG__9828KA,9291FG,9828KA,ok,733,0.0164,0.0505,1,2,0.0533,False,
93053R__87406E,93053R,87406E,ok,2694,0.0197,0.01,1,2,0.019,False,
9320A0__70177J,9320A0,70177J,ok,955,0.0231,0.021,3,1,0.0247,False,
9326MM__9313M7,9326MM,9313M7,ok,1775,0.013,0.0192,2,1,0.0236,False,
932939__691938,932939,691938,ok,2648,0.0064,0.0718,1,3,0.0479,False,
9329UM__2651HU,9329UM,2651HU,ok,986,0.0193,0.0081,2,1,0.0141,False,
9331D3__9301C6,9331D3,9301C6,ok,1210,0.0174,0.0124,1,1,0.0298,False,
93324N__2557WX,93324N,2557WX,ok,1223,0.0123,0.0524,1,2,0.0288,False,
9344KQ__9330CR,9344KQ,9330CR,ok,1542,0.011,0.0065,2,1,0.0095,False,
93642Z__280340,93642Z,280340,ok,2701,0.0215,0.0167,2,2,0.0283,False,
938816__929155,938816,929155,ok,3231,0.0313,0.0808,2,2,0.0809,False,
9451WD__50876V,9451WD,50876V,ok,800,0.0488,0.0914,2,3,0.0834,False,
94542N__932145,94542N,932145,ok,2459,0.0118,0.0138,1,1,0.0188,False,
951089__922894,951089,922894,ok,3539,0.0042,0.026,1,2,0.0231,False,
951173__906169,951173,906169,ok,3696,0.0049,0.0106,1,1,0.0099,False,
951465__912507,951465,912507,ok,3541,0.0113,0.0113,1,1,0.0194,False,
951742__905323,951742,905323,ok,3541,0.0073,0.0076,1,1,0.0086,False,
9518JQ__9374RF,9518JQ,9374RF,ok,2700,0.0133,0.0608,1,3,0.0751,False,
95296E__93369K,95296E,93369K,ok,1048,0.0048,0.0277,1,2,0.0246,False,
9602NL__29375R,9602NL,29375R,ok,1359,0.0177,0.0088,2,1,0.0188,False,
9816EQ__2593G1,9816EQ,2593G1,ok,1123,0.0018,0.0125,1,2,0.0091,False,
9818LN__2665TP,9818LN,2665TP,ok,947,0.0116,0.019,1,1,0.0201,False,
98208H__2584JD,98208H,2584JD,ok,1149,0.0061,0.0166,1,1,0.0229,False,
98215A__912177,98215A,912177,ok,587,0.0085,0.0068,1,1,0.0055,False,
98215C__539910,98215C,539910,ok,1281,0.0039,0.0039,1,1,0.0045,False,
992602__929688,992602,929688,ok,973,0.0113,0.0257,1,5,0.0278,False,
997641__912004,997641,912004,ok,3541,0.0045,0.011,1,1,0.0092,False,
997662__930971,997662,930971,ok,2101,0.0133,0.009,2,1,0.0147,False,
